LP	color	size	shape	taste	weight	fruit				
(color, green) = {2, 7, 17}, {3, 5, 9, 10, 13, 14, 18}										
(color, red) = {4, 8, 11, 21},  {6}										
(size, medium) = {2, 4, 7, 8, 11} , {3,  5,  14, 15, 18, 19}										
(size, big) = {17, 21}, {1,  9, 16}										
(shape, round) = {2, 4, 7, 8, 11, 17, 21} , {1, 3, 5, 6, 9, 10, 12, 13, 18, 19, 20}										
(taste, sweet) = {2, 4, 8, 17, 21}, {6, 10, 12, 14, 15, 16}										
(taste, sour) = {7, 11}, {1, 3, 5, 9, 13, 18, 19, 20}										
(weight, 0.5) = {1, 21}										
(weight, 0.3) = {4, 7}										
(weight, 0.4) = {8, 11, 17}										
										
REGULA 2	JEZELI size = medium ORAZ  shape = round ORAZ taste = sweet TO fruit JEST Apple							{2, 4, 8}		
										
										
B = {7, 11, 17, 21}										
T(G) = {(color, green), (color, red), (size, medium), (size, big), (shape, round), (taste, sweet), (taste, sour), (weight, 0.5), (weight, 0.3), (weight, 0.4)}										
B = G = {7, 11, 17, 21}										
										
(color, green) = {7, 17}, {2, 3, 5, 9, 10, 13, 14, 18}										
(color, red) = {11, 21},  {4, 6, 8}										
(size, medium) = {7, 11} , {2, 3, 4,  5, 8, 14, 15, 18, 19}										
(size, big) = {17, 21}, {1,  9, 16}										
(shape, round) = {7, 11, 17, 21} , {1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 18, 19, 20}										
(taste, sweet) = {17, 21}, {2, 4, 6, 8, 10, 12, 14, 15, 16}										
(taste, sour) = {7, 11}, {1, 3, 5, 9, 13, 18, 19, 20}										
(weight, 0.5) = {21}, {2}										
(weight, 0.3) = {7}, {4}										
(weight, 0.4) = {11, 17}, {8}										
										
REGULA 3	JEZELI shape=round ORAZ weight = 0.4 TO fruit JEST Apple					{11, 17}				
										
										
B = {7, 21}										
T(G) = {(color, green), (color, red), (size, medium), (size, big), (shape, round), (taste, sweet), (taste, sour), (weight, 0.5), (weight, 0.3)}										
B = G = {7, 21}										
										
(color, green) = {7}, {2, 3, 5, 9, 10, 13, 14, 17, 18}										
(color, red) = {21},  {4, 6, 8, 11}										
(size, medium) = {7} , {2, 3, 4,  5, 8, 11, 14, 15, 18, 19}										
(size, big) = {21}, {1,  9, 16, 17}										
(shape, round) = {7, 21} , {1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 17 18, 19, 20}										
(taste, sweet) = {21}, {2, 4, 6, 8, 10, 12, 14, 15, 16, 17}										
(taste, sour) = {7}, {1, 3, 5, 9, 11, 13, 18, 19, 20}						1				
(weight, 0.5) = {21}, {2}										
(weight, 0.3) = {7}, {4}						1				
										
REGULA 4	JEZELI shape = round ORAZ color = red ORAZ  weight = 0.5 TO fruit JEST Apple						{21}			
REGULA 5	JEZELI taste = sour ORAZ weight = 0.3 TO fruit JEST Apple						{7}			
										
										
										
Lemon										
B = {3, 5, 18, 19, 20}										
T(G) = {(color, green), (color, yellow), (size, medium), (size, small), (shape, round), (taste, sour), (weight, 0.1), (weight, 0.2)}										
B = G = {3, 5, 18, 19, 20}										
										
(color, green) = {3, 5, 18}, {2, 7, 9, 10, 13, 14, 17}										
(color, yellow) = {19, 20}, {1, 15, 16}										
(size, medium) = {3, 5, 18, 19,}, {2, 4, 7, 8, 11, 14, 15}										
(size, small) = {20}, {6, 10, 12, 13}										
(shape, round) = {3, 5, 18, 19, 20}, {1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 17, 21}										
(taste, sour) = {3, 5, 18, 19, 20}, {1, 7, 9, 11, 13}										
(weight, 0.1) = {3, 5, 18, 20}, {6, 10, 13}										
(weight, 0.2) = {19}, {12, 14}										
										
REGULA 6	JEZELI size = medium ORAZ shape = round ORAZ taste = sour ORAZ weight = 0.1 TO fruit JEST Lemon									{3, 5, 18}
										
										
B = {19, 20}										
T(G) = {(color, yellow), (size, medium), (size, small), (shape, round), (taste, sour), (weight, 0.1), (weight, 0.2)}										
B = G = {19, 20}										
										
										
(color, yellow) = {19, 20}, {1, 15, 16}										
(size, medium) = {19}, {2, 4, 7, 8, 11, 14, 15, 3, 5, 18}										
(size, small) = {20}, {6, 10, 12, 13}										
(shape, round) = {19, 20}, {1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 17, 21, 3, 5, 18}										
(taste, sour) = {19, 20}, {1, 7, 9, 11, 13, 3, 5, 18}										
(weight, 0.1) = {20}, {6, 10, 13, 3, 5, 18}										
(weight, 0.2) = {19}, {12, 14}										
										
REGULA 7	JEZELI color = yellow ORAZ shape = round ORAZ taste = sour ORAZ weight = 0.2 TO fruit JEST Lemon								{19}	
REGULA 8	JEZELI color = yellow ORAZ size = small TO fruit jest Lemon									
										
										
Cherry										
B = {6}										
T(G) = {(color, red), (size, small), (shape, round), (taste, sweet), (weight, 0.1)}										
B = G = {6}										
										
										
(color, red) = {4, 8, 11, 21}										
(size, small) = {10, 12, 13, 20}										
(shape, round) = {1, 2, 3, 4, 5, 7, 8, 9, 19, 11, 12, 13, 17, 18, 18, 20, 21}										
(taste, sweet) = {2, 4, 8, 10, 12, 14, 15, 16, 17, 21}										
(weight, 0.1) = {3, 5, 10, 13, 18, 20}										
										
REGULA 9	JEZELI color = red ORAZ size = small TO fruit JEST Cherry									
										
										
										
										
Grape										
B = {10, 12, 13}										
T(G) = {(color, green), (color, maroon), (size, small), (shape, round), (taste, sweet), (taste, sour), (weight, 0.1), (weight, 0.2)}										
B = G = {10, 12, 13}										
										
										
(color, green) = {10, 13}, {2, 3, 5, 7, 9, 14, 17, 18}						1				
(color, maroon) = {12}										
(size, small) = {10, 12, 13}, {6, 20}						1				
(shape, round) = {10, 12, 13},  {1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 17, 18, 19, 20, 21}						1				
(taste, sweet) = {10, 12}, {2, 4, 6, 8, 14, 15, 16, 17, 21}										
(taste, sour) = {13}, {1, 3, 5, 7, 9, 11, 18, 19, 20}										
(weight, 0.1) = {10, 13}, {3, 5, 6, 18, 20}						1				
(weight, 0.2) = {12}, {14, 19}										
										
REGULA 10	JEZELI color = green ORAZ  size = small ORAZ shape = round ORAZ weight = 0.1 TO fruit JEST Grape								{10, 13}	
REGULA 11	JEZELI color = maroon TO fruit JEST Grape								{12}	
										
										
										
Banana										
B = {14, 15, 16}										
T(G) = {(color, green), (color, yellow), (size, medium), (size, big), (shape, elongated), (taste, sweet), (weight, 0.2), (weight, 0.3)}										
B = G = {14, 15, 16}										
										
										
(color, green) 										
(color, yellow)										
(size, medium)										
(size, big)										
(shape, elongated) = {14, 15, 16}										
(taste, sweet)										
(weight, 0.2)										
(weight, 0.3)										
										
REGULA 12	JEZELI shape = elongated To fruit JEST Banana									
